id,name,city,latitude,longitude,dpcapacity,online_date
314,Ravenswood Ave & Berteau Ave,Chicago,41.957921,-87.673567,15,9/20/2013 11:56:03
244,Ravenswood Ave & Irving Park Rd,Chicago,41.95469,-87.67393,19,8/22/2013 09:49:19
344,Ravenswood Ave & Lawrence Ave,Chicago,41.96909,-87.674237,39,10-03-2013 16:21
238,Ravenswood Ave & Montrose Ave (*),Chicago,41.961615,-87.674365,16,8/21/2013 09:51:05
263,Rhodes Ave & 32nd St,Chicago,41.836208,-87.613533,11,09-03-2013 13:47
501,Richmond St & Diversey Ave,Chicago,41.93190197,-87.70119513,15,02-10-2015 14:48
514,Ridge Blvd & Howard St,Chicago,42.019276,-87.68452,15,05-12-2016 17:35
466,Ridge Blvd & Touhy Ave,Chicago,42.01213228,-87.68291264,15,02-10-2015 14:11
180,Ritchie Ct & Banks St,Chicago,41.906782,-87.626402,15,7/19/2013 11:14:24
478,Rockwell St & Eastwood Ave,Chicago,41.96590014,-87.69363849,15,02-10-2015 14:38
172,Rush St & Cedar St,Chicago,41.9023087,-87.62769053,11,7/19/2013 11:05:50
125,Rush St & Hubbard St,Chicago,41.890011,-87.626293,15,7/18/2013 17:53:37
161,Rush St & Superior St,Chicago,41.89576475,-87.62590803,23,7/19/2013 10:00:11
375,Sacramento Blvd & Franklin Blvd,Chicago,41.889727,-87.70103,11,1/30/2015 13:58:48
397,Saginaw Ave & Exchange Ave,Chicago,41.75874584,-87.56011478,11,1/30/2015 17:31:10
233,Sangamon St & Washington Blvd (*),Chicago,41.883004,-87.651148,16,8/20/2013 11:46:11
485,Sawyer Ave & Irving Park Rd,Chicago,41.95358618,-87.7093108,15,02-10-2015 14:40
111,Sedgwick St & Huron St,Chicago,41.894666,-87.638437,19,7/18/2013 16:52:38
118,Sedgwick St & North Ave,Chicago,41.911386,-87.638677,19,7/18/2013 17:20:42
236,Sedgwick St & Schiller St,Chicago,41.905664,-87.638517,15,8/20/2013 16:12:39
143,Sedgwick St & Webster Ave,Chicago ,41.922167,-87.638888,15,7/19/2013 09:19:42
557,Seeley Ave & Garfield Blvd,Chicago,41.794087,-87.675478,11,5/27/2016 10:48:53
308,Seeley Ave & Roscoe St,Chicago,41.943403,-87.679618,11,9/19/2013 16:55:13
3,Shedd Aquarium,Chicago,41.86722596,-87.61535539,31,06-10-2013 10:44
67,Sheffield Ave & Fullerton Ave,Chicago,41.92560188,-87.65370804,19,6/25/2013 12:23:48
20,Sheffield Ave & Kingsbury St,Chicago,41.910522,-87.653106,15,6/22/2013 19:04:58
114,Sheffield Ave & Waveland Ave,Chicago,41.949399,-87.654529,27,7/18/2013 17:17:44
327,Sheffield Ave & Webster Ave,Chicago,41.92154,-87.653818,19,9/23/2013 15:05:38
115,Sheffield Ave & Wellington Ave,Chicago,41.936266,-87.652662,23,7/18/2013 17:18:45
93,Sheffield Ave & Willow St,Chicago,41.913688,-87.652855,15,6/27/2013 11:41:25
302,Sheffield Ave & Wrightwood Ave,Chicago,41.928712,-87.653833,19,9/18/2013 16:55:36
306,Sheridan Rd & Buena Ave,Chicago,41.958494,-87.654966,15,9/19/2013 15:36:55
354,Sheridan Rd & Greenleaf Ave,Chicago,42.01058656,-87.66241209,15,12/31/2013 14:09:18
240,Sheridan Rd & Irving Park Rd,Chicago,41.954245,-87.654406,27,8/21/2013 11:07:27
323,Sheridan Rd & Lawrence Ave,Chicago,41.969517,-87.654691,15,9/21/2013 11:30:42
451,Sheridan Rd & Loyola Ave,Chicago,42.00104378,-87.66119824,15,02-10-2015 14:03
231,Sheridan Rd & Montrose Ave,Chicago,41.96167,-87.65464,23,8/20/2013 10:12:01
401,Shields Ave & 28th Pl,Chicago,41.842733,-87.635491,11,1/30/2015 17:37:00
402,Shields Ave & 31st St,Chicago,41.838464,-87.635406,15,1/30/2015 17:37:23
409,Shields Ave & 43rd St,Chicago,41.81620768,-87.63481935,11,1/30/2015 17:39:31
247,Shore Dr & 55th St,Chicago,41.795212,-87.580715,19,8/22/2013 12:50:56
